id,school_code,name,prefecture,city,type,source
hs-mext-D101210100013,D101210100013,北海道札幌西高等学校,北海道,札幌市中央区,public,mext
hs-mext-D101210100022,D101210100022,北海道札幌南高等学校,北海道,札幌市中央区,public,mext
hs-mext-D101210100031,D101210100031,市立札幌旭丘高等学校,北海道,札幌市中央区,public,mext
hs-mext-D101210100040,D101210100040,市立札幌大通高等学校,北海道,札幌市中央区,public,mext
hs-mext-D101210200012,D101210200012,北海道札幌北高等学校,北海道,札幌市北区,public,mext
hs-mext-D101210200021,D101210200021,北海道札幌工業高等学校,北海道,札幌市北区,public,mext
hs-mext-D101210200030,D101210200030,北海道札幌北陵高等学校,北海道,札幌市北区,public,mext
hs-mext-D101210200049,D101210200049,北海道札幌英藍高等学校,北海道,札幌市北区,public,mext
hs-mext-D101210200058,D101210200058,北海道札幌国際情報高等学校,北海道,札幌市北区,public,mext
hs-mext-D101210200067,D101210200067,北海道有朋高等学校,北海道,札幌市北区,public,mext
hs-mext-D101210200076,D101210200076,市立札幌新川高等学校,北海道,札幌市北区,public,mext
hs-mext-D101210300011,D101210300011,北海道札幌丘珠高等学校,北海道,札幌市東区,public,mext
hs-mext-D101210300020,D101210300020,北海道札幌東陵高等学校,北海道,札幌市東区,public,mext
hs-mext-D101210300039,D101210300039,北海道札幌東豊高等学校,北海道,札幌市東区,public,mext
hs-mext-D101210400010,D101210400010,北海道札幌東高等学校,北海道,札幌市白石区,public,mext
hs-mext-D101210400029,D101210400029,北海道札幌白石高等学校,北海道,札幌市白石区,public,mext
hs-mext-D101210400038,D101210400038,北海道札幌白陵高等学校,北海道,札幌市白石区,public,mext
hs-mext-D101210500019,D101210500019,北海道札幌月寒高等学校,北海道,札幌市豊平区,public,mext
hs-mext-D101210500028,D101210500028,市立札幌平岸高等学校,北海道,札幌市豊平区,public,mext
hs-mext-D101210600018,D101210600018,北海道札幌南陵高等学校,北海道,札幌市南区,public,mext
hs-mext-D101210600027,D101210600027,市立札幌啓北商業高等学校,北海道,札幌市南区,public,mext
hs-mext-D101210600036,D101210600036,市立札幌藻岩高等学校,北海道,札幌市南区,public,mext
hs-mext-D101210700017,D101210700017,北海道札幌西陵高等学校,北海道,札幌市西区,public,mext
hs-mext-D101210700026,D101210700026,北海道札幌琴似工業高等学校,北海道,札幌市西区,public,mext
hs-mext-D101210800016,D101210800016,北海道札幌啓成高等学校,北海道,札幌市厚別区,public,mext
hs-mext-D101210800025,D101210800025,北海道札幌東商業高等学校,北海道,札幌市厚別区,public,mext
hs-mext-D101210800034,D101210800034,北海道札幌厚別高等学校,北海道,札幌市厚別区,public,mext
hs-mext-D101210900015,D101210900015,北海道札幌手稲高等学校,北海道,札幌市手稲区,public,mext
hs-mext-D101210900024,D101210900024,北海道札幌あすかぜ高等学校,北海道,札幌市手稲区,public,mext
hs-mext-D101210900033,D101210900033,北海道札幌稲雲高等学校,北海道,札幌市手稲区,public,mext
hs-mext-D101211000012,D101211000012,北海道札幌真栄高等学校,北海道,札幌市清田区,public,mext
hs-mext-D101211000021,D101211000021,北海道札幌平岡高等学校,北海道,札幌市清田区,public,mext
hs-mext-D101211000030,D101211000030,市立札幌清田高等学校,北海道,札幌市清田区,public,mext
hs-mext-D101220200011,D101220200011,北海道函館中部高等学校,北海道,函館市時任町,public,mext
hs-mext-D101220200020,D101220200020,北海道函館西高等学校,北海道,函館市元町,public,mext
hs-mext-D101220200039,D101220200039,北海道函館商業高等学校,北海道,函館市,public,mext
hs-mext-D101220200048,D101220200048,北海道函館工業高等学校,北海道,函館市川原町,public,mext
hs-mext-D101220200057,D101220200057,北海道南茅部高等学校,北海道,函館市川汲町,public,mext
hs-mext-D101220200075,D101220200075,市立函館高等学校,北海道,函館市柳町,public,mext
hs-mext-D101220300010,D101220300010,北海道小樽潮陵高等学校,北海道,小樽市,public,mext
hs-mext-D101220300029,D101220300029,北海道小樽桜陽高等学校,北海道,小樽市,public,mext
hs-mext-D101220300038,D101220300038,北海道小樽未来創造高等学校,北海道,小樽市,public,mext
hs-mext-D101220300047,D101220300047,北海道小樽水産高等学校,北海道,小樽市若竹町,public,mext
hs-mext-D101220400019,D101220400019,北海道旭川東高等学校,北海道,旭川市,public,mext
hs-mext-D101220400028,D101220400028,北海道旭川西高等学校,北海道,旭川市川端町,public,mext
hs-mext-D101220400037,D101220400037,北海道旭川北高等学校,北海道,旭川市花咲町,public,mext
hs-mext-D101220400046,D101220400046,北海道旭川商業高等学校,北海道,旭川市,public,mext
hs-mext-D101220400055,D101220400055,北海道旭川工業高等学校,北海道,旭川市,public,mext
hs-mext-D101220400064,D101220400064,北海道旭川農業高等学校,北海道,旭川市永山町,public,mext
hs-mext-D101220400073,D101220400073,北海道旭川南高等学校,北海道,旭川市,public,mext
hs-mext-D101220400082,D101220400082,北海道旭川永嶺高等学校,北海道,旭川市永山町,public,mext
hs-mext-D101220500018,D101220500018,北海道室蘭栄高等学校,北海道,室蘭市東町,public,mext
hs-mext-D101220500027,D101220500027,北海道室蘭清水丘高等学校,北海道,室蘭市増市,public,mext
hs-mext-D101220500036,D101220500036,北海道室蘭工業高等学校,北海道,室蘭市宮の森町,public,mext
hs-mext-D101220500045,D101220500045,北海道室蘭東翔高等学校,北海道,室蘭市高砂町,public,mext
hs-mext-D101220600017,D101220600017,北海道釧路湖陵高等学校,北海道,釧路市,public,mext
hs-mext-D101220600026,D101220600026,北海道釧路江南高等学校,北海道,釧路市光陽町,public,mext
hs-mext-D101220600035,D101220600035,北海道釧路商業高等学校,北海道,釧路市,public,mext
hs-mext-D101220600044,D101220600044,北海道釧路工業高等学校,北海道,釧路市,public,mext
hs-mext-D101220600053,D101220600053,北海道阿寒高等学校,北海道,釧路市阿寒町,public,mext
hs-mext-D101220600062,D101220600062,北海道釧路北陽高等学校,北海道,釧路市,public,mext
hs-mext-D101220600071,D101220600071,北海道釧路明輝高等学校,北海道,釧路市,public,mext
hs-mext-D101220700016,D101220700016,北海道帯広柏葉高等学校,北海道,帯広市,public,mext
hs-mext-D101220700025,D101220700025,北海道帯広三条高等学校,北海道,帯広市,public,mext
hs-mext-D101220700034,D101220700034,北海道帯広工業高等学校,北海道,帯広市稲田町,public,mext
hs-mext-D101220700043,D101220700043,北海道帯広農業高等学校,北海道,帯広市稲田町,public,mext
hs-mext-D101220700052,D101220700052,北海道帯広南商業高等学校,北海道,帯広市,public,mext
hs-mext-D101220700061,D101220700061,北海道帯広緑陽高等学校,北海道,帯広市,public,mext
hs-mext-D101220800015,D101220800015,北海道北見北斗高等学校,北海道,北見市北斗町,public,mext
hs-mext-D101220800024,D101220800024,北海道北見柏陽高等学校,北海道,北見市柏陽町,public,mext
hs-mext-D101220800033,D101220800033,北海道北見工業高等学校,北海道,北見市東相内町,public,mext
hs-mext-D101220800042,D101220800042,北海道留辺蘂高等学校,北海道,北見市留辺蘂町,public,mext
hs-mext-D101220800051,D101220800051,北海道常呂高等学校,北海道,北見市,public,mext
hs-mext-D101220800060,D101220800060,北海道北見商業高等学校,北海道,北見市端野町,public,mext
hs-mext-D101220800079,D101220800079,北海道北見緑陵高等学校,北海道,北見市,public,mext
hs-mext-D101220900014,D101220900014,北海道夕張高等学校,北海道,夕張市,public,mext
hs-mext-D101221000039,D101221000039,北海道岩見沢農業高等学校,北海道,岩見沢市並木町,public,mext
hs-mext-D101221000048,D101221000048,北海道岩見沢緑陵高等学校,北海道,岩見沢市,public,mext
hs-mext-D101221000057,D101221000057,北海道岩見沢東高等学校,北海道,岩見沢市並木町,public,mext
hs-mext-D101221100010,D101221100010,北海道網走南ケ丘高等学校,北海道,網走市台町,public,mext
hs-mext-D101221100029,D101221100029,北海道網走桂陽高等学校,北海道,網走市,public,mext
hs-mext-D101221200019,D101221200019,北海道留萌高等学校,北海道,留萌市千鳥町,public,mext
hs-mext-D101221300018,D101221300018,北海道苫小牧東高等学校,北海道,苫小牧市清水町,public,mext
hs-mext-D101221300027,D101221300027,北海道苫小牧西高等学校,北海道,苫小牧市青葉町,public,mext
hs-mext-D101221300036,D101221300036,北海道苫小牧工業高等学校,北海道,苫小牧市,public,mext
hs-mext-D101221300045,D101221300045,北海道苫小牧南高等学校,北海道,苫小牧市のぞみ町,public,mext
hs-mext-D101221300054,D101221300054,北海道苫小牧総合経済高等学校,北海道,苫小牧市新開町,public,mext
hs-mext-D101221400017,D101221400017,北海道稚内高等学校,北海道,稚内市,public,mext
hs-mext-D101221500016,D101221500016,北海道美唄聖華高等学校,北海道,美唄市,public,mext
hs-mext-D101221500025,D101221500025,北海道美唄尚栄高等学校,北海道,美唄市,public,mext
hs-mext-D101221600015,D101221600015,北海道芦別高等学校,北海道,芦別市本町,public,mext
hs-mext-D101221700014,D101221700014,北海道江別高等学校,北海道,江別市,public,mext
hs-mext-D101221700023,D101221700023,北海道野幌高等学校,北海道,江別市,public,mext
hs-mext-D101221700032,D101221700032,北海道大麻高等学校,北海道,江別市大麻ひかり町,public,mext
hs-mext-D101221900012,D101221900012,北海道紋別高等学校,北海道,紋別市南が丘町,public,mext
hs-mext-D101222000019,D101222000019,北海道士別東高等学校,北海道,士別市上士別町,public,mext
hs-mext-D101222000028,D101222000028,北海道士別翔雲高等学校,北海道,士別市,public,mext
hs-mext-D101222100018,D101222100018,北海道名寄高等学校,北海道,名寄市,public,mext
hs-mext-D101222200017,D101222200017,北海道三笠高等学校,北海道,三笠市若草町,public,mext
hs-mext-D101222300016,D101222300016,北海道根室高等学校,北海道,根室市,public,mext
hs-mext-D101222400015,D101222400015,北海道千歳高等学校,北海道,千歳市,public,mext
hs-mext-D101222400024,D101222400024,北海道千歳北陽高等学校,北海道,千歳市,public,mext
hs-mext-D101222500014,D101222500014,北海道滝川高等学校,北海道,滝川市緑町,public,mext
hs-mext-D101222500023,D101222500023,北海道滝川工業高等学校,北海道,滝川市二の坂町,public,mext
hs-mext-D101222500032,D101222500032,北海道滝川西高等学校,北海道,滝川市西町,public,mext
hs-mext-D101222600013,D101222600013,北海道砂川高等学校,北海道,砂川市,public,mext
hs-mext-D101222800011,D101222800011,北海道深川西高等学校,北海道,深川市西町,public,mext
hs-mext-D101222800020,D101222800020,北海道深川東高等学校,北海道,深川市,public,mext
hs-mext-D101222900038,D101222900038,北海道富良野高等学校,北海道,富良野市西町,public,mext
hs-mext-D101223000017,D101223000017,北海道登別青嶺高等学校,北海道,登別市青葉町,public,mext
