id,school_code,name,type,region,source
u-mext-F101110100010,F101110100010,北海道大学,national,北海道,mext
u-mext-F101110100029,F101110100029,北海道教育大学,national,北海道,mext
u-mext-F101110100038,F101110100038,室蘭工業大学,national,北海道,mext
u-mext-F101110100047,F101110100047,小樽商科大学,national,北海道,mext
u-mext-F101110100056,F101110100056,帯広畜産大学,national,北海道,mext
u-mext-F101110100065,F101110100065,北見工業大学,national,北海道,mext
u-mext-F101110100074,F101110100074,旭川医科大学,national,北海道,mext
u-mext-F101210100081,F101210100081,札幌医科大学,public,北海道,mext
u-mext-F101210100090,F101210100090,公立はこだて未来大学,public,北海道,mext
u-mext-F101210100107,F101210100107,釧路公立大学,public,北海道,mext
u-mext-F101210100116,F101210100116,名寄市立大学,public,北海道,mext
u-mext-F101210100125,F101210100125,札幌市立大学,public,北海道,mext
u-mext-F101210100134,F101210100134,公立千歳科学技術大学,public,北海道,mext
u-mext-F101210100143,F101210100143,旭川市立大学,public,北海道,mext
u-mext-F101310100141,F101310100141,札幌大学,private,北海道,mext
u-mext-F101310100150,F101310100150,札幌学院大学,private,北海道,mext
u-mext-F101310100169,F101310100169,函館大学,private,北海道,mext
u-mext-F101310100178,F101310100178,藤女子大学,private,北海道,mext
u-mext-F101310100187,F101310100187,北星学園大学,private,北海道,mext
u-mext-F101310100196,F101310100196,北海学園大学,private,北海道,mext
u-mext-F101310100203,F101310100203,北海道科学大学,private,北海道,mext
u-mext-F101310100212,F101310100212,酪農学園大学,private,北海道,mext
u-mext-F101310100230,F101310100230,北海道医療大学,private,北海道,mext
u-mext-F101310100249,F101310100249,北海商科大学,private,北海道,mext
u-mext-F101310100258,F101310100258,星槎道都大学,private,北海道,mext
u-mext-F101310100267,F101310100267,北海道情報大学,private,北海道,mext
u-mext-F101310100276,F101310100276,札幌国際大学,private,北海道,mext
u-mext-F101310100285,F101310100285,北翔大学,private,北海道,mext
u-mext-F101310100294,F101310100294,北洋大学,private,北海道,mext
u-mext-F101310100301,F101310100301,日本赤十字北海道看護大学,private,北海道,mext
u-mext-F101310100310,F101310100310,北海道文教大学,private,北海道,mext
u-mext-F101310100329,F101310100329,天使大学,private,北海道,mext
u-mext-F101310100338,F101310100338,育英館大学,private,北海道,mext
u-mext-F101310100347,F101310100347,札幌大谷大学,private,北海道,mext
u-mext-F101310100356,F101310100356,札幌保健医療大学,private,北海道,mext
u-mext-F101310100365,F101310100365,日本医療大学,private,北海道,mext
u-mext-F101310100374,F101310100374,北海道千歳リハビリテーション大学,private,北海道,mext
u-mext-F101310100383,F101310100383,北海道武蔵女子大学,private,北海道,mext
u-mext-F102110100572,F102110100572,弘前大学,national,東北,mext
u-mext-F102210100589,F102210100589,青森公立大学,public,東北,mext
u-mext-F102210100598,F102210100598,青森県立保健大学,public,東北,mext
u-mext-F102310100603,F102310100603,青森大学,private,東北,mext
u-mext-F102310100612,F102310100612,柴田学園大学,private,東北,mext
u-mext-F102310100621,F102310100621,弘前学院大学,private,東北,mext
u-mext-F102310100630,F102310100630,八戸工業大学,private,東北,mext
u-mext-F102310100649,F102310100649,八戸学院大学,private,東北,mext
u-mext-F102310100658,F102310100658,青森中央学院大学,private,東北,mext
u-mext-F102310100667,F102310100667,弘前医療福祉大学,private,東北,mext
u-mext-F103110100731,F103110100731,岩手大学,national,東北,mext
u-mext-F103210100748,F103210100748,岩手県立大学,public,東北,mext
u-mext-F103310100755,F103310100755,岩手医科大学,private,東北,mext
u-mext-F103310100764,F103310100764,富士大学,private,東北,mext
u-mext-F103310100773,F103310100773,盛岡大学,private,東北,mext
u-mext-F103310100782,F103310100782,岩手保健医療大学,private,東北,mext
u-mext-F104110100856,F104110100856,東北大学,national,東北,mext
u-mext-F104110100865,F104110100865,宮城教育大学,national,東北,mext
u-mext-F104210100872,F104210100872,宮城大学,public,東北,mext
u-mext-F104310100889,F104310100889,仙台大学,private,東北,mext
u-mext-F104310100898,F104310100898,東北学院大学,private,東北,mext
u-mext-F104310100905,F104310100905,東北工業大学,private,東北,mext
u-mext-F104310100914,F104310100914,東北福祉大学,private,東北,mext
